Player,Height,Weight,DraftNumber,Origin
Garrison Mathews,6-6,215.0,UFA,Lipscomb
Ish Wainright,6-5,250.0,UFA,Baylor
Jaylon Tyson,6-6,215.0,20,California
Marko Gudurić,6-6,201.0,UFA,Fenerbahce
Rodney McGruder,6-4,205.0,UFA,Kansas State
Chandler Hutchison,6-6,210.0,22,Boise State
Nick Young,6-7,210.0,16,Southern California
Miles McBride,6-1,195.0,36,West Virginia
Chuma Okeke,6-7,229.0,16,Auburn
Peyton Watson,6-7,200.0,30,UCLA
Ajay Mitchell,6-5,190.0,38,California-Santa Barbara
Kyle Singler,6-8,228.0,33,Duke
Devin Vassell,6-5,200.0,11,Florida State
Jeremy Sochan,6-8,230.0,9,Baylor
Bobby Brown,6-2,175.0,UFA,Cal State-Fullerton
Al Horford,6-9,240.0,3,Florida
Moussa Diabaté,6-9,210.0,43,Michigan
Marcus Georges-Hunt,6-5,226.0,UFA,Georgia Tech
RJ Barrett,6-6,214.0,3,Duke
Jordan Nwora,6-8,225.0,45,Louisville
Sam Hauser,6-7,217.0,UFA,Virginia
Jamal Murray,6-4,215.0,7,Kentucky
Darrell Arthur,6-9,235.0,27,Kansas
Kristaps Porziņģis,7-2,240.0,4,Cajasol Sevilla
Kyle Korver,6-7,212.0,51,Creighton
Noah Clowney,6-9,210.0,21,Alabama
Goran Dragić,6-4,190.0,45,Union Olimpija
Onyeka Okongwu,6-10,240.0,6,Southern California
Terry Taylor,6-4,230.0,UFA,Austin Peay
Tyson Chandler,7-0,235.0,2,Dominguez HS (CA)
Danilo Gallinari,6-10,236.0,6,Olimpia Milano
Christian Braun,6-6,220.0,21,Kansas
Lou Williams,6-2,175.0,45,South Gwinnett HS (GA)
Anthony Morrow,6-5,210.0,UFA,Georgia Tech
Álex Abrines,6-6,200.0,32,FC Barcelona
Miloš Teodosić,6-5,196.0,UFA,CSKA Moscow
Deron Williams,6-3,200.0,3,Illinois
Jerami Grant,6-7,210.0,39,Syracuse
Baylor Scheierman,6-6,205.0,30,Creighton
Tyus Jones,6-1,196.0,24,Duke
JaKarr Sampson,6-7,214.0,UFA,St. John's (NY)
Luke Babbitt,6-9,225.0,16,Nevada
Jaxson Hayes,7-0,220.0,8,Texas
Markieff Morris,6-9,245.0,13,Kansas
Dylan Windler,6-7,196.0,26,Belmont
Seth Curry,6-1,185.0,UFA,Duke
Dante Cunningham,6-8,230.0,33,Villanova
Zion Williamson,6-6,284.0,1,Duke
Eric Bledsoe,6-1,214.0,18,Kentucky
Malaki Branham,6-4,180.0,20,Ohio State
Miles Plumlee,6-11,249.0,26,Duke
Tre Mann,6-3,178.0,18,Florida
Derrick Williams,6-8,240.0,2,Arizona
Brandon Rush,6-6,225.0,13,Kansas
Jarell Martin,6-10,239.0,25,Louisiana State
Troy Williams,6-7,218.0,UFA,Indiana
Timothé Luwawu-Cabarrot,6-7,215.0,24,Mega Basket
John Collins,6-9,226.0,19,Wake Forest
Josh Green,6-5,200.0,18,Arizona
Ryan Dunn,6-8,216.0,28,Virginia
Antonio Reeves,6-5,205.0,47,Kentucky
Dirk Nowitzki,7-0,245.0,9,DJK Wurzburg
Marreese Speights,6-10,255.0,16,Florida
Darius Bazley,6-9,216.0,23,Princeton HS (OH)
Kemba Walker,6-0,184.0,9,Connecticut
Zeke Nnaji,6-9,240.0,22,Arizona
Shawn Long,6-9,255.0,UFA,Louisiana-Lafayette
Troy Brown Jr.,6-7,215.0,15,Oregon
Norris Cole,6-2,175.0,28,Cleveland State
Cody Martin,6-6,205.0,36,Nevada
Buddy Hield,6-4,220.0,6,Oklahoma
